kecamatan,kelurahan,lintang_selatan,bujur_timur,parameter,hasil_analisa
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Besi (Fe),0.8
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Fluorida,0.41
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Cadmium (Cd),0
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Kesadahan,52.63
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Krom Heksavalen,<0.003
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Mangan (Mn),<0.05
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Nitrat,1.45
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Nitrit,0.1
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Seng (Zn),0.8
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Sulfat,31.8
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Timah Hitam (Pb),0
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Detergen,0.4
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Zat Organik,0.5
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Total Coliform,0
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",E.Coli,0
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Indeks Pencemaran,0.576194396
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Kategori,MemenuhiBaku Mutu
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Warna,31
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Kekeruhan,0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Air Raksa,<0.0003
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Besi (Fe),0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Fluorida,0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Cadmium (Cd),0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Kesadahan,24
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Krom Heksavalen,<0.003
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Mangan (Mn),<0.05
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Nitrat,0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Nitrit,0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Seng (Zn),<0.01
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Sulfat,43
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Timah Hitam (Pb),0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Detergen,0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Zat Organik,0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Total Coliform,0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",E.Coli,0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Indeks Pencemaran,0
Kemayoran,Cempaka Baru,"06o10’11,5”","106o51’33,9”",Kategori,MemenuhiBaku Mutu
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Warna,19
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Kekeruhan,0.61
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Air Raksa,<0.0003
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Besi (Fe),0.8
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Fluorida,0.24
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Cadmium (Cd),0
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Kesadahan,67.69
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Krom Heksavalen,<0.003
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Mangan (Mn),<0.05
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Nitrat,0.86
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Nitrit,0.4
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Seng (Zn),<0.01
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Sulfat,16.53
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Timah Hitam (Pb),0
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Detergen,0.29
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Zat Organik,0.5
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Total Coliform,0
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,E.Coli,0
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Indeks Pencemaran,3.416103237
Kemayoran,Gunung Sahari Selatan,06o 09’38.8”,106o50’44.9”,Kategori,Tercemar Ringan
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Warna,22
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Kekeruhan,0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Air Raksa,<0.0003
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Besi (Fe),0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Fluorida,0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Cadmium (Cd),0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Kesadahan,31
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Krom Heksavalen,<0.003
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Mangan (Mn),<0.05
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Nitrat,0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Nitrit,0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Seng (Zn),<0.01
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Sulfat,83
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Timah Hitam (Pb),0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Detergen,0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Zat Organik,0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Total Coliform,0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",E.Coli,0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Indeks Pencemaran,0
Kemayoran,Harapan Mulia,"06o10’04,6”","106o51’27,7”",Kategori,MemenuhiBaku Mutu
Kemayoran,Kemayoran,"06?10’03,8”","106?50’37,0''",Warna,27
Kemayoran,Kemayoran,"06?10’03,8”","106?50’37,0''",Kekeruhan,0
Kemayoran,Kemayoran,"06?10’03,8”","106?50’37,0''",Air Raksa,<0.0003
Kemayoran,Kemayoran,"06?10’03,8”","106?50’37,0''",Besi (Fe),0
